date,advances,declines,unchanged,ad_diff,ad_line,breadth_thrust_ema10
20240322,487,384,82,103,36793.0,0.5180503285696908
20240325,339,529,85,-190,36603.0,0.49486899526460243
20240326,456,405,92,51,36654.0,0.5011867642598885
20240327,368,502,83,-134,36520.0,0.4869688990757499
20240328,294,562,97,-268,36252.0,0.46087599813929236
20240329,273,605,76,-332,35920.0,0.433613805891146
20240401,577,296,81,281,36201.0,0.4749457120573502
20240402,222,667,65,-445,35756.0,0.4339953617108967
20240403,246,637,71,-391,35365.0,0.4057408771251411
20240404,418,468,68,-50,35315.0,0.41774858959530836
20240405,247,635,72,-388,34927.0,0.3927116372096019
20240408,278,593,83,-315,34612.0,0.3793410420713985
20240409,371,492,91,-121,34491.0,0.3885328003548459
20240411,271,610,73,-339,34152.0,0.3738186538038977
20240412,371,509,74,-138,34014.0,0.38250451840153615
20240415,303,583,68,-280,33734.0,0.3751375979616098
20240416,124,776,54,-652,33082.0,0.33198126701909486
20240417,409,457,88,-48,33034.0,0.3574912864945229
20240418,770,127,57,643,33677.0,0.44856867901796726
20240419,240,632,82,-392,33285.0,0.41705243879618503
20240422,662,228,64,434,33719.0,0.4764647635094425
20240423,472,406,76,66,33785.0,0.4875776104008712
20240424,612,273,69,339,34124.0,0.5246590310059516
20240425,361,491,102,-130,33994.0,0.5063044654026501
20240426,461,409,83,52,34046.0,0.5105918457787617
20240429,719,167,67,552,34598.0,0.5653046766098754
20240430,442,410,101,32,34630.0,0.5568455249940807
20240502,359,516,78,-157,34473.0,0.5301982866834686
20240503,394,478,81,-84,34389.0,0.5159503913565326
20240507,585,286,82,299,34688.0,0.5442579185725769
20240508,577,283,94,294,34982.0,0.5672892483881337
20240509,355,536,63,-181,34801.0,0.536587336274303
20240510,493,366,95,127,34928.0,0.5433756690376375
20240513,381,485,87,-104,34824.0,0.5245716947805318
20240514,527,344,82,183,35007.0,0.5392044165937364
20240516,534,347,72,187,35194.0,0.5513725951059474
20240517,307,577,69,-270,34924.0,0.5142657719727393
20240520,405,476,72,-71,34853.0,0.504345609944469
20240521,292,588,73,-296,34557.0,0.4729769866487804
20240522,402,478,73,-76,34481.0,0.47003902213412607
20240523,349,534,70,-185,34296.0,0.45643983412950684
20240524,264,621,68,-357,33939.0,0.4276880615142806
20240527,425,443,85,-18,33921.0,0.4389504751308714
20240528,406,467,80,-61,33860.0,0.44369820713352665
20240529,220,676,57,-456,33404.0,0.4076686629793789
20240530,199,683,71,-484,32920.0,0.37456955748611725
20240531,534,335,84,199,33119.0,0.4181931696933699
20240603,637,249,67,388,33507.0,0.47287834343678753
20240604,228,645,80,-417,33090.0,0.4343856236991398
20240605,421,444,88,-23,33067.0,0.44389827435604867
20240607,463,402,88,61,33128.0,0.4605095182198464
20240610,379,500,74,-121,33007.0,0.45517538511089095
20240611,351,513,89,-162,32845.0,0.4462798605452744
20240612,502,375,76,127,32972.0,0.4692118730469421
20240613,396,464,93,-68,32904.0,0.46762155363460167
20240614,395,486,72,-91,32813.0,0.46411838806818245
20240617,362,524,67,-162,32651.0,0.4540201135292106
20240618,378,499,76,-121,32530.0,0.4498373334804664
20240619,342,539,72,-197,32333.0,0.43862967879131337
20240620,499,371,83,128,32461.0,0.4631630496275845
20240621,297,581,75,-284,32177.0,0.4404550029154248
20240624,235,640,79,-405,31772.0,0.40920344394378905
20240625,497,375,82,122,31894.0,0.43843084112498504
20240626,355,515,84,-160,31734.0,0.4329063203770776
20240627,264,622,68,-358,31376.0,0.408372152543281
20240628,581,296,77,285,31661.0,0.4545746242380136
20240701,381,495,79,-114,31547.0,0.4510031483491593
20240702,197,694,64,-497,31050.0,0.40920255551595835
20240703,271,589,95,-318,30732.0,0.39209595979846906
20240704,486,389,80,97,30829.0,0.4217927982766695
20240705,400,463,92,-63,30766.0,0.42937582052195217
20240708,519,348,88,171,30937.0,0.4601467471461458
20240709,455,409,90,46,30983.0,0.47223286045964113
20240710,426,434,94,-8,30975.0,0.47643576532321585
20240711,442,415,98,27,31002.0,0.48358428534400805
20240712,428,433,94,-5,30997.0,0.48604103337881094
20240715,495,382,78,113,31110.0,0.500292513367778
20240716,359,500,96,-141,30969.0,0.4853171151281926
20240717,412,462,81,-50,30919.0,0.48278598165158754
20240718,277,605,73,-328,30591.0,0.4521083407905897
20240719,305,575,75,-270,30321.0,0.4329233532088296
20240722,212,676,67,-464,29857.0,0.39761705966881306
20240723,367,497,91,-130,29727.0,0.40255368855057766
20240724,370,491,94,-121,29606.0,0.40749535767906514
20240725,160,732,63,-572,29034.0,0.3660184194300382
20240726,596,289,70,307,29341.0,0.4219144027488705
20240729,636,246,75,390,29731.0,0.47630968140801216
20240730,227,667,63,-440,29291.0,0.43587428275461315
20240731,589,304,64,285,29576.0,0.4765470437237937
20240801,633,251,73,382,29958.0,0.5200954627587929
20240802,60,871,26,-811,29147.0,0.4372502570506714
20240805,10,924,23,-914,28233.0,0.35969687178975507
20240806,856,73,28,783,29016.0,0.4618285101315336
20240807,730,176,51,554,29570.0,0.5243577836255795
20240808,424,468,65,-44,29526.0,0.5154447907609205
20240809,703,202,52,501,30027.0,0.5629631160972072
20240812,677,204,76,473,30500.0,0.6003234493380204
20240813,325,563,69,-238,30262.0,0.5577175478203786
20240814,652,236,69,416,30678.0,0.589811490804716
20240816,476,414,67,62,30740.0,0.5798151216900689
20240819,349,535,74,-186,30554.0,0.5461753504901469
20240820,649,245,64,404,30958.0,0.5788617927642589
20240821,409,450,99,-41,30917.0,0.5601842014880395
20240822,285,599,74,-314,30603.0,0.5169503812257139
20240823,429,432,97,-3,30600.0,0.5135517373158122
20240826,378,509,71,-131,30469.0,0.49766152700544514
20240827,437,424,97,13,30482.0,0.49945931504225466
20240828,260,628,70,-368,30114.0,0.46188358372417065
20240829,283,592,83,-309,29805.0,0.4367099451249708
20240830,583,293,82,290,30095.0,0.4783127031304763
20240902,327,536,95,-209,29886.0,0.4602396255361223
20240903,458,420,80,38,29924.0,0.471403346550677
20240904,52,862,44,-810,29114.0,0.39603778881299667
20240905,358,523,77,-165,28949.0,0.3979139023318801
20240906,138,764,56,-626,28323.0,0.35338289247432
20240909,504,374,80,130,28453.0,0.39350089214455125
20240910,343,535,80,-192,28261.0,0.3929844739828374
20240911,345,528,85,-183,28078.0,0.3933852975198535
20240912,766,127,65,639,28717.0,0.4778211988361053
20240913,602,271,85,331,29048.0,0.5163221034317691
20240919,498,373,87,125,29173.0,0.5264011031000562
20240920,567,319,72,248,29421.0,0.5470472394951619
20240923,437,451,70,-14,29407.0,0.5370599445173355
20240924,608,265,85,343,29750.0,0.5660397775770806
20240925,357,518,83,-161,29589.0,0.5373052725630659
20240926,750,141,67,609,30198.0,0.5926590124153888
20240927,417,459,83,-42,30156.0,0.5714532642053679
20240930,182,711,66,-529,29627.0,0.5046085599530227
20241002,181,706,72,-525,29102.0,0.4499631171574234
20241004,464,414,81,50,29152.0,0.4642377875106605
20241007,621,261,77,360,29512.0,0.5078457593547334
20241008,306,572,80,-266,29246.0,0.4788773235060161
20241010,442,428,88,14,29260.0,0.4841807150524666
20241011,369,489,100,-120,29140.0,0.47434239051018723
20241014,487,398,73,89,29229.0,0.4881496805766452
20241015,419,448,91,-29,29200.0,0.4872634956002477
20241016,324,555,79,-231,28969.0,0.4656884386899947
20241017,359,515,84,-156,28813.0,0.4557005677902536
20241018,269,592,97,-323,28490.0,0.4296509027353685
20241021,436,429,93,7,28497.0,0.4431773281970408
20241022,196,692,70,-496,28001.0,0.4027306722922553
20241023,450,411,97,39,28040.0,0.4245338379888804
20241024,257,617,84,-360,27680.0,0.40080956621807085
20241025,260,620,78,-360,27320.0,0.3816541078974298
20241028,617,274,67,343,27663.0,0.4381679717609927
20241029,409,445,104,-36,27627.0,0.4455779253731094
20241030,352,516,90,-164,27463.0,0.43829647601746236
20241031,473,405,80,68,27531.0,0.4565560937554346
20241101,290,601,67,-311,27220.0,0.4327235298260208
20241104,622,256,80,366,27586.0,0.4828516600419565
20241105,515,359,84,156,27742.0,0.5021958766267973
20241106,325,556,78,-231,27511.0,0.47796007695530657
20241107,355,513,91,-158,27353.0,0.4654193675298339
20241108,391,470,98,-79,27274.0,0.463365503007991
20241111,187,730,42,-543,26731.0,0.4161946561242143
20241112,121,791,47,-670,26061.0,0.36464570748281006
20241113,107,803,49,-696,25365.0,0.3197251093191023
20241114,430,452,77,-22,25343.0,0.3502347884740295
20241115,508,391,60,117,25460.0,0.38929615467118744
20241118,617,284,58,333,25793.0,0.4430231579284289
20241119,460,412,87,48,25841.0,0.45838675390140843
20241120,437,422,100,15,25856.0,0.46754026822010675
20241121,394,479,86,-85,25771.0,0.46459063703065484
20241122,518,357,84,161,25932.0,0.4877559757523539
20241125,611,285,63,326,26258.0,0.5230584606804973
20241126,487,391,81,96,26354.0,0.5288059594426682
20241127,375,518,66,-143,26211.0,0.5090108414985975
20241128,517,363,79,154,26365.0,0.5232815975897616
20241129,171,727,62,-556,25809.0,0.46276188213408104
20241202,217,678,65,-461,25348.0,0.4227066491203679
20241203,735,166,59,569,25917.0,0.49417094316588267
20241204,176,737,47,-561,25356.0,0.439370968833422
20241205,177,727,56,-550,24806.0,0.39508469453225276
