date,advances,declines,unchanged,ad_diff,ad_line,breadth_thrust_ema10,open,high,low,close
20250515,298,593,71,-295,41663.0,0.5323996395214624,2634.5,2643.83,2618.08,2621.36
20250516,316,581,65,-265,41398.0,0.4996515952018613,2630.64,2633.98,2619.1,2626.87
20250519,240,646,76,-406,40992.0,0.4580568253785801,2613.7,2619.43,2593.44,2603.42
20250520,554,337,71,217,41209.0,0.4878234550261028,2622.68,2622.91,2598.1,2601.8
20250521,540,335,87,205,41414.0,0.5113360735927853,2615.9,2633.41,2614.73,2625.58
20250522,258,635,70,-377,41037.0,0.47089565544795026,2614.66,2616.53,2588.09,2593.67
20250523,494,398,71,96,41133.0,0.48597129249247295,2603.57,2604.14,2589.51,2592.09
20250526,637,260,66,377,41510.0,0.5267301352277018,2598.45,2644.4,2595.96,2644.4
20250527,361,517,84,-156,41354.0,0.5057176981330813,2630.29,2642.63,2625.66,2637.22
20250528,579,312,71,267,41621.0,0.5319202348055483,2648.86,2692.47,2643.5,2670.15
20250529,751,153,58,598,42219.0,0.5862533216389723,2691.06,2720.64,2686.64,2720.64
20250530,396,489,77,-93,42126.0,0.5610177408170943,2713.24,2717.54,2689.87,2697.67
20250602,371,525,66,-154,41972.0,0.5342986061230771,2692.91,2719.87,2685.14,2698.97
20250604,800,120,42,680,42652.0,0.5952561718082093,2737.92,2771.03,2734.02,2770.84
20250605,572,314,76,258,42910.0,0.6044092667759758,2790.33,2831.11,2787.76,2812.05
20250609,700,204,58,496,43406.0,0.6353050879414057,2841.56,2867.27,2841.39,2855.77
20250610,431,463,68,-32,43374.0,0.6074501461843146,2872.62,2885.67,2849.67,2871.85
20250611,601,284,77,317,43691.0,0.6204766732776646,2887.32,2908.16,2879.92,2907.04
20250612,521,375,66,146,43837.0,0.6133851352791282,2909.99,2934.31,2909.99,2920.03
20250613,150,766,46,-616,43221.0,0.5316342849584291,2930.57,2932.38,2877.07,2894.62
20250616,621,280,61,341,43562.0,0.5602888121004844,2903.5,2947.07,2886.13,2946.66
20250617,324,564,74,-240,43322.0,0.5247571853303717,2959.93,2998.62,2925.79,2950.3
20250618,428,458,76,-30,43292.0,0.5171776929842381,2933.63,2979.32,2933.63,2972.19
20250619,432,443,87,-11,43281.0,0.5129116189351558,2989.56,2996.04,2954.47,2977.74
20250620,489,391,82,98,43379.0,0.5206880187981853,2986.52,3022.06,2972.37,3021.84
20250623,267,647,48,-380,42999.0,0.4791306587063728,2992.2,3019.81,2971.36,3014.47
20250624,767,139,56,628,43627.0,0.5459393328408352,3061.14,3105.04,3061.14,3103.64
20250625,468,422,72,46,43673.0,0.5422853989841766,3127.79,3129.09,3084.86,3108.25
20250626,181,727,54,-546,43127.0,0.479931545904955,3108.34,3113.03,3036.55,3079.56
20250627,247,661,54,-414,42713.0,0.4421306160527926,3077.87,3093.56,3041.85,3055.94
20250630,489,398,75,91,42804.0,0.4619789595110631,3072.75,3086.0,3063.42,3071.7
20250701,709,185,68,524,43328.0,0.5221763990467778,3089.64,3133.52,3088.45,3089.65
20250702,454,433,75,21,43349.0,0.5202966274049838,3083.82,3090.61,3032.47,3075.06
20250703,610,283,69,327,43676.0,0.5498955506926453,3100.33,3116.27,3085.98,3116.27
20250704,161,741,60,-580,43096.0,0.4823676759245005,3122.28,3123.84,3052.91,3054.28
20250707,429,461,72,-32,43064.0,0.4823049115582481,3044.78,3068.43,3032.99,3059.47
20250708,645,241,76,404,43468.0,0.5269751041212262,3071.74,3115.86,3066.03,3114.95
20250709,701,199,62,502,43970.0,0.5727776104426193,3123.22,3137.17,3111.02,3133.74
20250710,599,289,75,310,44280.0,0.5912815993711521,3144.14,3183.23,3133.81,3183.23
20250711,476,411,76,65,44345.0,0.5813468287157842,3186.35,3216.69,3170.46,3175.77
